PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),NOx (ppb),NH3 (µg/m³),hour,month,dayofweek
171.25,270.75,3.42,31.8,0.94,22.23,19.73,20.2,0,1,0
170.5,248.75,4.13,40.67,0.93,10.7,24.97,19.37,1,1,0
141.75,236.25,3.8,23.1,0.86,27.18,15.37,22.23,2,1,0
122.5,196.0,2.88,18.52,0.81,29.75,12.2,20.35,3,1,0
122.0,203.75,2.68,16.77,0.78,33.92,11.12,20.27,4,1,0
128.0,205.5,2.2,22.7,1.06,24.6,13.88,20.7,5,1,0
141.75,231.25,3.08,32.15,1.15,23.05,19.58,22.48,6,1,0
147.75,266.5,3.32,23.32,0.9,37.78,15.1,23.15,7,1,0
127.0,233.5,3.55,20.3,0.86,54.12,13.72,23.65,8,1,0
144.0,266.75,3.05,21.98,0.9,86.32,14.18,24.0,9,1,0
155.5,236.0,2.6,17.15,0.86,120.2,11.2,22.58,10,1,0
141.0,226.25,2.48,13.32,0.81,133.82,9.1,20.18,11,1,0
131.75,204.75,1.88,13.95,0.82,153.07,8.98,20.15,12,1,0
139.0,214.5,1.8,13.55,0.62,157.93,8.65,20.7,13,1,0
136.0,210.75,1.75,13.5,0.52,161.72,8.6,21.38,14,1,0
136.0,203.0,1.88,13.38,0.55,154.72,8.62,21.1,15,1,0
138.75,207.5,2.15,20.7,0.68,118.88,12.78,21.3,16,1,0
150.5,238.25,12.5,60.4,1.08,35.45,42.3,20.6,17,1,0
165.5,295.75,13.1,59.15,1.37,54.32,42.12,20.88,18,1,0
172.0,295.25,2.25,28.0,1.0,86.38,16.75,20.25,19,1,0
150.25,222.25,2.7,33.8,1.1,59.78,20.22,20.1,20,1,0
154.75,237.0,3.25,47.5,1.4,27.02,27.92,20.42,21,1,0
173.75,261.5,7.82,63.65,1.57,7.02,40.2,20.15,22,1,0
167.5,257.25,5.42,43.2,1.06,19.62,27.38,19.48,23,1,0
154.25,238.25,3.38,32.75,0.89,23.9,20.18,18.23,0,1,1
133.25,198.75,2.67,21.13,0.83,57.03,13.4,17.97,1,1,1
119.75,181.5,2.87,15.63,0.82,37.25,10.67,19.77,2,1,1
112.25,172.75,4.25,24.05,0.78,22.38,16.3,19.52,3,1,1
110.5,177.25,4.18,21.05,0.83,20.27,14.58,20.18,4,1,1
111.33,196.0,4.97,24.27,0.88,13.9,16.93,19.63,5,1,1
107.75,195.0,2.65,23.4,0.86,37.5,14.62,18.68,6,1,1
101.25,194.25,2.7,19.55,0.74,55.05,12.6,18.7,7,1,1
107.0,209.75,3.52,17.45,0.73,58.4,12.18,19.25,8,1,1
135.25,237.75,4.18,23.58,0.96,73.18,15.92,21.68,9,1,1
172.0,284.75,3.12,18.6,0.91,111.28,12.42,21.55,10,1,1
160.75,253.75,2.2,15.6,0.89,135.3,10.1,20.82,11,1,1
147.5,218.25,2.0,14.18,0.76,137.2,9.18,17.55,12,1,1
123.75,191.25,1.75,14.0,0.58,132.9,8.85,15.25,13,1,1
107.5,168.5,1.92,15.0,0.49,131.68,9.55,14.9,14,1,1
97.25,160.5,1.95,15.72,0.52,131.57,9.95,15.25,15,1,1
101.75,177.25,2.08,24.3,0.66,103.28,14.62,15.78,16,1,1
118.25,234.75,3.68,58.75,1.28,38.6,34.25,15.68,17,1,1
134.0,299.0,4.2,64.93,1.43,41.23,37.93,17.57,18,1,1
156.5,295.25,2.78,37.08,1.2,77.55,21.95,21.92,19,1,1
168.25,264.5,2.82,37.95,1.19,67.18,22.48,22.15,20,1,1
160.5,253.75,2.5,39.48,1.06,61.1,23.05,21.45,21,1,1
151.75,244.75,2.62,33.57,0.84,54.78,20.0,20.82,22,1,1
147.25,234.0,7.48,48.42,1.14,10.12,31.85,18.75,23,1,1
143.75,247.25,13.65,46.3,1.1,4.73,35.7,18.98,0,1,2
137.5,230.75,3.2,31.9,1.04,25.63,19.6,19.62,1,1,2
126.75,228.0,3.0,23.9,0.96,25.62,15.1,21.4,2,1,2
115.75,217.5,2.72,17.6,0.85,36.15,11.55,20.88,3,1,2
111.5,207.0,2.58,14.45,0.79,47.58,9.78,20.22,4,1,2
108.5,212.25,2.28,15.2,0.77,49.28,9.9,19.55,5,1,2
104.25,205.75,1.95,22.7,0.95,44.45,13.62,18.75,6,1,2
103.67,206.0,3.1,26.3,0.94,40.0,16.5,18.87,7,1,2
104.75,218.0,4.6,30.1,0.91,53.4,19.75,18.95,8,1,2
121.0,238.0,3.2,24.32,0.77,85.37,15.58,16.27,9,1,2
128.75,209.75,3.47,20.97,0.76,115.02,13.93,15.2,10,1,2
103.0,179.25,2.5,15.15,0.76,130.68,10.05,16.58,11,1,2
90.75,161.25,2.4,13.65,0.7,137.93,9.22,15.25,12,1,2
86.0,154.0,2.05,13.62,0.51,132.55,8.93,14.08,13,1,2
75.0,150.5,1.92,14.9,0.48,132.05,9.52,14.35,14,1,2
78.0,147.25,2.05,16.42,0.53,128.95,10.4,14.8,15,1,2
77.75,144.0,2.02,22.5,0.6,107.38,13.6,14.6,16,1,2
80.5,168.75,4.45,56.68,1.09,53.0,33.8,15.32,17,1,2
97.75,231.25,4.97,63.1,1.35,43.5,37.6,19.68,18,1,2
118.5,264.25,2.65,39.38,1.1,59.98,23.12,20.32,19,1,2
124.75,225.25,2.98,50.1,1.46,38.38,29.05,21.95,20,1,2
138.75,234.25,2.9,48.62,1.54,28.65,28.2,23.85,21,1,2
145.5,243.0,22.88,67.38,1.84,4.18,54.42,23.8,22,1,2
163.5,305.0,9.18,52.9,1.21,13.82,35.58,21.48,23,1,2
143.0,262.25,3.38,33.95,0.84,28.7,20.8,20.12,0,1,3
119.75,191.25,2.97,27.43,0.82,30.2,17.03,20.0,1,1,3
115.25,172.25,3.33,26.0,0.92,27.4,16.57,24.33,2,1,3
114.25,183.25,3.05,22.95,0.76,35.08,14.7,20.42,3,1,3
90.75,156.25,3.08,26.45,0.74,35.55,16.55,20.5,4,1,3
90.25,155.75,2.4,22.05,0.76,38.48,13.72,21.62,5,1,3
97.75,167.25,3.72,32.28,1.0,17.92,20.2,23.98,6,1,3
110.5,215.75,3.88,22.3,0.74,56.48,15.02,28.9,7,1,3
92.75,180.0,3.68,21.65,0.66,66.2,14.5,27.25,8,1,3
113.75,196.5,3.52,23.9,0.77,102.7,15.6,27.65,9,1,3
133.75,240.75,4.15,28.15,0.96,109.75,18.32,26.82,10,1,3
127.25,218.5,2.9,22.25,0.82,133.8,14.2,23.6,11,1,3
103.0,185.5,2.18,14.62,0.6,139.72,9.52,20.0,12,1,3
83.5,152.75,1.98,13.58,0.53,138.5,8.82,19.62,13,1,3
87.5,160.25,2.05,14.65,0.47,134.68,9.45,20.6,14,1,3
88.67,164.0,2.37,17.57,0.51,129.87,11.27,20.87,15,1,3
96.5,181.75,2.3,28.45,0.6,103.8,17.0,20.65,16,1,3
107.5,226.0,2.48,35.17,0.72,96.78,20.7,20.65,17,1,3
113.25,231.5,2.22,28.98,0.74,98.38,17.25,19.62,18,1,3
98.25,185.75,2.2,33.0,0.84,84.6,19.3,18.77,19,1,3
96.25,183.25,2.65,37.12,0.9,75.45,21.88,18.88,20,1,3
96.75,175.75,2.45,39.92,0.89,50.35,23.22,19.02,21,1,3
99.75,182.5,11.92,73.4,1.05,9.5,48.75,17.35,22,1,3
110.5,208.0,6.1,50.9,0.92,23.55,32.05,20.02,23,1,3
108.0,186.5,3.52,33.4,0.94,24.37,20.65,19.25,0,1,4
102.25,168.0,2.83,24.77,0.82,43.33,15.43,19.0,1,1,4
93.0,149.5,2.87,21.2,0.86,42.8,13.63,20.3,2,1,4
87.75,145.5,2.4,16.3,0.72,62.5,10.65,19.2,3,1,4
82.5,136.5,2.15,16.32,0.77,54.15,10.42,18.85,4,1,4
94.25,147.5,2.62,25.38,1.0,32.95,15.6,19.85,5,1,4
105.5,179.25,1.92,23.45,0.68,70.65,14.05,18.23,6,1,4
74.25,131.75,1.95,20.15,0.65,70.22,12.32,18.32,7,1,4
78.5,136.5,3.35,22.98,0.61,68.25,14.92,18.92,8,1,4
93.25,166.25,3.17,21.0,0.57,84.08,13.77,20.67,9,1,4
106.0,164.75,3.15,19.95,0.75,126.2,13.2,21.25,10,1,4
105.5,172.25,2.82,17.62,0.75,146.6,11.68,19.65,11,1,4
100.5,181.75,2.17,16.05,0.71,143.7,10.3,16.75,12,1,4
88.75,159.0,2.05,16.2,0.68,142.55,10.32,16.23,13,1,4
84.5,146.0,2.28,17.15,0.54,132.48,10.98,17.35,14,1,4
85.25,156.5,2.28,18.85,0.5,133.3,11.88,18.1,15,1,4
95.25,179.75,2.5,28.5,0.59,101.68,17.2,17.68,16,1,4
106.5,225.25,3.75,58.88,1.0,49.42,34.38,17.1,17,1,4
117.5,256.75,3.72,46.7,1.1,60.02,27.9,19.95,18,1,4
139.75,279.75,2.52,27.7,0.85,98.4,16.75,23.22,19,1,4
152.5,248.25,2.22,27.78,0.92,102.78,16.58,25.4,20,1,4
169.75,258.5,2.5,31.5,0.99,80.72,18.77,27.58,21,1,4
182.25,267.0,2.98,41.97,1.09,43.45,24.75,28.65,22,1,4
189.25,284.0,4.22,46.08,1.23,17.98,27.95,29.58,23,1,4
189.75,294.0,5.55,42.2,1.0,11.33,26.95,26.05,0,1,5
160.75,241.0,4.57,38.5,0.91,45.07,24.2,27.23,1,1,5
153.0,245.0,2.97,20.27,0.88,43.62,13.17,27.03,2,1,5
136.75,229.25,2.62,15.38,0.73,50.42,10.32,25.65,3,1,5
124.5,210.5,2.65,17.92,0.74,43.12,11.72,24.32,4,1,5
125.75,217.75,2.82,20.75,0.8,53.42,13.32,23.72,5,1,5
122.25,223.0,2.22,22.62,0.77,47.7,13.82,22.75,6,1,5
121.75,225.25,3.48,28.65,0.93,45.2,18.1,24.72,7,1,5
148.25,258.5,3.2,24.45,0.74,97.9,15.6,27.2,8,1,5
163.0,289.75,2.98,24.38,0.66,107.45,15.4,27.1,9,1,5
173.0,262.5,3.0,22.12,0.57,132.75,14.18,23.15,10,1,5
146.0,235.0,2.72,18.9,0.45,133.98,12.22,17.48,11,1,5
106.5,195.25,2.38,18.1,0.4,134.43,11.58,14.38,12,1,5
92.75,154.25,2.15,17.35,0.4,140.12,10.98,14.08,13,1,5
83.0,148.0,1.77,19.93,0.42,145.8,12.03,15.97,14,1,5
101.0,185.0,2.03,21.3,0.48,142.03,12.97,18.0,15,1,5
112.33,208.33,2.17,25.33,0.51,120.37,15.2,17.6,16,1,5
113.75,223.75,2.42,43.55,0.8,77.3,25.15,17.32,17,1,5
127.0,248.25,2.85,40.62,0.98,83.5,23.9,18.92,18,1,5
145.0,252.25,2.72,33.95,1.0,79.68,20.27,21.28,19,1,5
161.5,262.5,3.0,36.6,1.05,78.65,21.9,24.08,20,1,5
180.0,265.25,2.88,33.52,0.88,75.47,20.12,23.35,21,1,5
163.75,236.0,2.52,37.85,0.99,56.6,22.2,22.48,22,1,5
153.75,233.25,3.7,53.18,1.13,23.2,31.28,21.58,23,1,5
159.5,275.0,3.12,36.15,0.92,40.13,21.72,21.58,0,1,6
147.5,224.75,2.7,22.6,0.81,47.43,14.17,20.8,1,1,6
133.5,205.0,2.7,17.7,1.01,48.82,11.6,21.43,2,1,6
132.0,183.75,2.92,22.5,0.86,32.92,14.38,19.88,3,1,6
128.75,171.75,2.75,26.3,0.7,26.98,16.2,17.73,4,1,6
116.5,168.75,2.65,20.98,0.76,30.52,13.3,17.25,5,1,6
112.25,168.5,2.08,19.73,0.88,40.25,12.2,19.15,6,1,6
120.5,197.75,2.35,23.22,0.92,63.68,14.25,17.95,7,1,6
120.5,199.25,3.75,31.15,0.93,64.72,19.58,18.92,8,1,6
134.75,231.5,2.98,24.42,0.8,102.5,15.4,20.72,9,1,6
135.0,209.75,2.5,18.8,0.86,116.58,12.05,20.23,10,1,6
127.0,200.25,2.33,16.32,0.84,130.35,10.58,18.7,11,1,6
120.0,193.75,2.12,14.98,0.83,137.57,9.68,18.7,12,1,6
118.5,193.5,2.15,14.92,0.86,144.8,9.65,18.92,13,1,6
122.25,194.5,1.7,15.55,0.74,149.8,9.68,20.05,14,1,6
122.25,192.25,1.72,16.52,0.66,143.5,10.22,20.48,15,1,6
127.75,193.25,2.08,19.82,0.7,118.98,12.22,20.35,16,1,6
125.0,202.5,2.38,28.35,0.79,93.8,17.02,20.38,17,1,6
132.75,236.25,2.5,31.08,1.02,88.38,18.55,20.92,18,1,6
150.5,248.75,2.5,29.75,1.34,83.35,17.88,22.65,19,1,6
161.75,250.25,2.75,28.95,1.38,69.25,17.6,22.5,20,1,6
167.0,247.0,2.88,36.95,1.56,43.82,21.98,22.6,21,1,6
172.0,256.25,3.62,45.12,1.56,25.38,26.95,22.65,22,1,6
165.5,260.25,6.05,53.9,1.59,8.95,33.58,23.4,23,1,6
179.25,288.5,3.88,30.58,0.93,23.77,19.45,24.85,0,1,0
167.0,247.0,3.97,28.93,0.8,13.13,18.63,22.23,1,1,0
153.75,223.75,4.27,24.33,0.85,32.15,16.4,25.23,2,1,0
145.0,226.75,2.7,14.88,0.68,53.5,10.07,22.38,3,1,0
132.75,208.25,2.42,14.72,0.65,70.53,9.75,21.28,4,1,0
143.5,222.0,2.4,15.85,0.62,56.92,10.38,20.7,5,1,0
147.25,214.5,2.33,19.35,0.58,47.22,12.2,19.6,6,1,0
141.0,216.5,3.35,29.62,0.76,44.48,18.48,21.18,7,1,0
165.25,278.0,3.97,32.33,0.72,55.8,20.45,23.72,8,1,0
182.75,294.75,3.08,22.2,0.49,83.62,14.32,22.35,9,1,0
156.75,242.25,2.88,18.62,0.78,87.4,12.22,21.4,10,1,0
193.75,285.5,3.25,17.9,0.9,102.23,12.25,22.35,11,1,0
232.5,330.75,3.3,16.7,0.8,115.6,11.6,22.4,12,1,0
143.5,224.75,2.78,12.0,0.7,123.02,8.65,21.25,13,1,0
145.5,230.25,2.17,14.08,0.66,126.28,9.28,19.92,14,1,0
158.25,248.0,2.03,16.65,0.56,126.95,10.52,19.92,15,1,0
165.75,243.75,2.4,24.3,0.82,105.8,14.88,21.25,16,1,0
170.5,296.5,3.0,39.15,1.16,77.8,23.28,21.2,17,1,0
179.25,306.25,3.12,38.5,1.14,72.95,23.0,23.55,18,1,0
180.0,296.75,2.45,26.75,0.74,81.22,16.2,22.9,19,1,0
171.25,258.25,2.48,26.55,0.83,70.0,16.15,22.92,20,1,0
173.5,258.75,2.6,26.9,0.8,68.5,16.45,24.22,21,1,0
179.0,271.5,2.92,30.02,0.72,51.7,18.32,24.7,22,1,0
177.0,262.5,3.18,37.72,0.82,33.67,22.65,24.15,23,1,0
161.75,252.25,4.35,40.48,1.23,21.77,25.05,23.72,0,1,1
156.0,253.75,2.8,27.97,1.04,43.7,17.17,23.53,1,1,1
137.5,227.25,2.7,18.23,1.02,45.72,11.9,24.03,2,1,1
125.5,213.5,2.65,16.18,0.95,43.22,10.75,22.75,3,1,1
120.25,212.5,2.65,17.27,0.95,45.1,11.35,22.32,4,1,1
119.75,216.5,2.6,20.38,1.07,45.22,12.95,22.58,5,1,1
135.0,240.75,4.22,33.95,1.75,21.7,21.5,24.32,6,1,1
152.25,281.5,4.8,27.9,1.13,50.05,18.75,22.58,7,1,1
129.75,238.75,3.68,24.5,1.0,74.72,16.05,22.6,8,1,1
172.0,249.0,3.32,23.72,1.0,89.7,15.3,22.3,9,1,1
162.0,252.75,2.95,22.22,0.96,114.08,14.2,20.95,10,1,1
169.75,260.5,2.92,19.25,0.99,126.5,12.62,18.92,11,1,1
145.0,237.25,2.72,18.85,0.97,141.98,12.22,17.38,12,1,1
135.25,224.75,2.38,18.88,0.91,146.8,11.98,16.25,13,1,1
124.75,206.5,2.05,18.48,0.67,130.28,11.5,13.18,14,1,1
100.0,169.0,2.1,19.5,0.55,124.2,12.1,13.4,15,1,1
116.0,220.25,1.33,22.75,0.6,106.45,11.9,12.8,16,1,1
132.0,271.5,2.52,49.18,1.01,66.7,28.2,14.55,17,1,1
139.25,322.75,2.38,34.2,1.06,74.3,20.1,21.8,18,1,1
162.75,283.25,2.48,27.98,1.02,75.88,16.9,21.7,19,1,1
156.25,241.75,2.4,26.25,1.04,71.97,15.92,22.08,20,1,1
120.75,176.75,2.48,30.42,1.17,57.53,18.2,22.25,21,1,1
119.25,183.0,6.28,57.85,1.55,15.25,35.88,22.08,22,1,1
115.5,207.5,6.15,51.42,1.09,17.55,32.35,22.88,23,1,1
105.75,186.5,3.6,27.4,0.94,31.03,17.52,21.72,0,1,2
89.25,159.5,3.13,26.37,1.02,16.13,16.6,20.47,1,1,2
89.0,165.5,13.77,35.2,1.27,3.52,29.87,22.73,2,1,2
95.25,181.0,10.55,32.78,1.04,7.12,26.05,23.22,3,1,2
92.25,174.5,8.45,32.88,1.0,4.55,24.38,21.8,4,1,2
76.0,156.25,4.28,18.25,0.92,47.05,13.2,18.75,5,1,2
59.5,122.5,2.17,16.08,0.76,66.5,10.35,18.23,6,1,2
53.0,110.0,1.8,14.35,0.68,71.12,9.12,17.42,7,1,2
48.75,89.5,2.5,14.92,0.68,59.88,9.98,18.18,8,1,2
61.25,123.0,2.8,18.05,0.75,65.38,11.9,18.3,9,1,2
102.25,194.75,3.85,23.95,0.89,75.2,15.88,19.18,10,1,2
163.5,249.5,3.12,22.25,0.93,109.25,14.4,19.85,11,1,2
174.5,269.25,2.65,22.92,0.98,137.82,14.32,21.2,12,1,2
172.5,276.0,2.35,20.02,0.92,164.25,12.58,20.15,13,1,2
159.25,254.75,2.15,18.2,0.8,170.92,11.4,19.58,14,1,2
149.75,243.0,1.88,19.0,0.64,157.18,11.62,20.1,15,1,2
145.0,246.0,2.0,24.25,0.73,125.0,14.52,20.0,16,1,2
151.5,282.5,3.72,49.42,1.12,63.75,29.32,19.32,17,1,2
160.75,323.0,2.65,30.45,0.82,81.7,18.32,19.85,18,1,2
103.75,152.25,2.45,34.28,0.99,84.68,20.2,18.42,19,1,2
106.25,153.75,2.8,34.75,1.06,82.88,20.78,18.5,20,1,2
106.0,154.0,2.68,29.32,0.96,89.1,17.75,19.02,21,1,2
98.25,140.25,2.48,26.05,0.82,84.35,15.88,18.95,22,1,2
83.5,122.75,2.28,27.2,0.84,62.3,16.35,19.25,23,1,2
81.75,120.5,2.55,24.65,1.0,66.63,15.18,19.4,0,1,3
81.25,115.75,2.4,21.77,0.89,55.23,13.53,19.1,1,1,3
83.0,117.75,4.93,33.27,1.37,17.18,21.73,22.17,2,1,3
89.25,131.25,4.58,31.42,1.48,13.35,20.45,21.82,3,1,3
95.25,146.5,4.32,35.12,1.42,9.35,22.25,21.05,4,1,3
82.5,142.25,4.85,35.95,1.37,10.32,23.08,20.2,5,1,3
79.75,138.25,14.3,35.95,1.59,6.82,30.78,20.82,6,1,3
83.5,157.75,19.82,40.22,1.51,9.82,37.52,21.8,7,1,3
101.5,186.75,4.92,31.42,1.28,51.12,20.72,24.12,8,1,3
166.0,260.0,3.8,28.1,1.21,68.6,18.03,22.45,9,1,3
153.75,240.0,3.15,23.1,0.98,94.6,14.85,20.2,10,1,3
133.0,207.0,2.9,17.77,1.1,108.45,11.8,19.18,11,1,3
109.25,186.75,5.68,16.42,1.12,118.15,13.38,18.23,12,1,3
138.5,220.25,4.3,18.5,1.14,121.18,13.32,18.62,13,1,3
139.5,213.25,2.25,15.3,1.15,130.95,9.98,18.23,14,1,3
129.0,210.25,1.88,17.05,0.99,132.05,10.6,18.62,15,1,3
129.5,212.75,2.15,22.9,1.0,114.32,13.92,18.62,16,1,3
131.5,239.75,2.42,32.75,1.22,87.9,19.42,18.8,17,1,3
134.5,271.5,2.52,31.95,1.2,77.3,19.05,18.82,18,1,3
122.25,226.25,2.48,23.1,1.1,77.35,14.3,16.95,19,1,3
70.25,120.0,2.05,20.38,1.0,81.07,12.52,16.95,20,1,3
64.5,107.0,2.22,20.32,0.95,84.8,12.62,16.77,21,1,3
62.75,98.75,2.25,19.0,0.94,86.38,11.92,16.82,22,1,3
61.75,97.5,1.92,18.1,0.88,84.95,11.2,17.08,23,1,3
62.5,95.0,2.3,19.42,0.86,74.93,12.22,17.38,0,1,4
68.25,94.75,2.53,20.97,0.94,54.97,13.23,18.63,1,1,4
70.5,102.25,2.5,23.2,0.9,38.1,14.37,18.67,2,1,4
66.25,97.0,2.92,24.45,0.95,31.28,15.4,17.82,3,1,4
66.25,104.25,2.95,19.05,0.98,38.7,12.5,17.98,4,1,4
64.5,115.75,2.95,23.05,0.98,40.15,14.65,17.58,5,1,4
71.0,121.0,2.65,24.5,1.03,61.75,15.2,17.68,6,1,4
82.75,139.0,2.05,25.88,0.98,50.95,15.42,14.48,7,1,4
70.0,126.75,2.9,24.6,0.92,62.72,15.45,12.58,8,1,4
74.25,155.75,2.75,23.5,0.92,78.25,14.75,13.9,9,1,4
110.5,207.0,2.8,22.42,0.76,98.25,14.22,13.92,10,1,4
100.5,184.0,2.82,20.62,0.84,119.78,13.25,14.08,11,1,4
105.75,181.5,2.17,16.98,0.89,137.72,10.78,15.58,12,1,4
116.25,186.5,1.85,16.38,0.88,143.12,10.22,15.18,13,1,4
112.0,182.0,1.88,16.35,0.88,145.98,10.25,14.65,14,1,4
103.0,171.5,1.75,17.38,0.74,142.22,10.68,14.85,15,1,4
93.0,175.25,2.05,25.05,0.73,109.72,14.98,13.92,16,1,4
100.75,245.0,24.12,92.6,1.51,15.27,68.88,13.18,17,1,4
136.5,449.25,37.2,91.15,2.19,19.55,78.75,14.45,18,1,4
139.5,338.0,2.45,34.92,1.1,86.0,20.6,15.82,19,1,4
110.0,198.75,2.43,24.8,0.93,94.85,15.18,14.62,20,1,4
87.0,161.25,2.08,21.92,0.88,91.48,13.38,14.15,21,1,4
83.5,148.25,1.92,22.55,0.88,88.08,13.55,14.48,22,1,4
93.5,155.25,2.22,31.0,0.87,56.45,18.27,15.6,23,1,4
91.5,158.5,2.9,43.1,0.73,37.9,25.3,16.3,0,1,5
63.0,101.5,2.97,29.33,0.69,37.9,18.0,16.6,1,1,5
64.0,107.5,2.93,29.47,0.69,12.8,18.07,19.47,2,1,5
66.5,99.25,3.65,31.92,0.68,12.8,19.92,19.18,3,1,5
63.25,98.25,2.78,20.35,0.68,12.8,13.1,17.38,4,1,5
58.5,94.5,2.98,21.62,0.7,12.8,13.9,17.9,5,1,5
59.75,108.5,3.4,32.0,0.7,48.4,19.77,17.65,6,1,5
57.75,113.75,2.75,27.45,0.64,71.95,16.85,15.32,7,1,5
56.75,114.5,2.72,25.48,0.69,74.22,15.78,16.42,8,1,5
64.75,118.5,2.63,23.13,0.6,92.08,14.43,17.0,9,1,5
64.0,115.5,2.77,17.57,0.49,108.6,11.6,17.9,10,1,5
63.0,107.0,2.38,16.18,0.59,126.0,10.52,16.27,11,1,5
72.0,116.5,2.4,16.7,0.77,140.1,10.8,15.52,12,1,5
106.0,175.5,2.25,16.62,0.72,149.6,10.68,15.38,13,1,5
96.5,167.75,2.15,16.55,0.64,154.7,10.58,15.0,14,1,5
87.0,161.0,1.88,17.73,0.53,158.45,10.98,15.6,15,1,5
91.25,173.5,1.8,24.8,0.83,137.65,14.68,16.77,16,1,5
100.5,219.75,2.33,42.52,0.86,103.5,24.5,17.73,17,1,5
120.5,259.75,2.18,25.6,0.54,130.28,15.4,21.28,18,1,5
128.25,197.25,2.28,27.52,0.58,120.78,16.5,19.92,19,1,5
121.75,198.5,2.28,29.6,0.63,108.48,17.62,19.3,20,1,5
125.25,208.75,2.4,33.75,0.71,89.12,19.88,18.7,21,1,5
121.5,192.25,2.98,44.38,0.88,52.05,26.0,18.68,22,1,5
127.5,217.5,2.75,53.92,0.96,39.8,30.92,18.45,23,1,5
132.75,222.25,3.28,48.42,1.06,28.6,28.42,19.23,0,1,6
136.0,207.75,3.6,44.63,1.17,24.3,26.63,19.37,1,1,6
136.25,201.0,3.43,28.57,0.8,41.97,17.97,21.87,2,1,6
128.5,192.0,2.75,18.85,0.65,50.5,12.25,21.8,3,1,6
130.5,186.75,3.15,27.85,0.7,30.08,17.38,20.65,4,1,6
132.25,195.75,3.32,29.25,0.71,22.5,18.25,20.65,5,1,6
131.25,206.0,4.25,34.2,0.73,17.3,21.6,20.38,6,1,6
131.25,221.25,3.75,32.92,0.73,63.28,20.55,20.65,7,1,6
139.5,235.75,3.02,32.33,0.66,87.62,19.62,20.1,8,1,6
116.75,220.5,2.92,24.83,0.42,116.02,15.55,20.27,9,1,6
110.0,180.25,2.4,20.9,0.36,134.32,13.1,19.88,10,1,6
95.0,169.75,2.4,19.95,0.39,145.1,12.58,20.4,11,1,6
97.75,160.5,2.17,13.5,0.36,144.82,8.98,17.75,12,1,6
78.0,127.0,1.38,12.7,0.34,146.98,7.85,15.92,13,1,6
72.0,114.0,1.68,12.55,0.33,145.28,8.02,15.62,14,1,6
63.5,106.5,1.62,12.18,0.31,144.57,7.8,15.95,15,1,6
65.0,108.5,1.7,13.28,0.2,129.02,8.48,17.3,16,1,6
69.75,126.25,2.3,30.8,0.43,83.58,18.25,16.92,17,1,6
91.5,165.0,3.0,60.18,0.8,46.38,34.45,20.88,18,1,6
110.0,219.25,2.15,28.5,0.56,83.78,16.9,20.8,19,1,6
98.0,163.0,2.17,22.55,0.53,85.88,13.7,19.92,20,1,6
97.75,154.0,2.25,27.08,0.58,74.6,16.23,19.6,21,1,6
101.0,168.0,3.15,42.0,0.92,29.52,24.9,19.82,22,1,6
105.0,179.75,4.97,49.88,1.23,9.2,30.55,20.62,23,1,6
79.25,137.25,3.8,31.65,0.88,13.03,19.92,20.92,0,1,0
72.75,121.75,3.27,26.5,0.7,57.07,16.73,21.47,1,1,0
71.5,114.25,2.97,20.0,0.68,62.65,13.07,21.9,2,1,0
80.5,116.75,2.42,15.85,0.66,66.18,10.42,20.9,3,1,0
84.75,113.25,2.4,15.18,0.75,71.5,10.02,19.55,4,1,0
85.25,120.75,2.22,17.68,0.78,73.82,11.2,19.82,5,1,0
93.5,137.5,2.28,17.75,0.81,89.65,11.3,21.35,6,1,0
109.75,158.0,2.6,18.02,0.88,96.58,11.7,22.4,7,1,0
118.5,182.25,2.33,21.05,0.89,97.28,13.08,22.28,8,1,0
121.0,175.0,2.38,20.72,0.9,105.85,13.0,22.72,9,1,0
121.5,175.75,2.4,19.65,0.78,117.65,12.42,22.12,10,1,0
107.25,167.25,2.3,17.12,0.63,123.7,11.0,20.38,11,1,0
85.0,126.0,2.08,14.38,0.63,131.4,9.3,18.4,12,1,0
77.75,118.25,2.0,13.75,0.6,131.8,8.93,17.23,13,1,0
72.25,116.25,2.02,14.3,0.63,135.3,9.25,16.4,14,1,0
68.0,119.5,2.02,18.55,0.68,127.95,11.52,16.92,15,1,0
71.25,128.5,1.98,21.95,0.6,114.25,13.28,17.88,16,1,0
74.0,136.75,2.38,32.62,0.84,80.53,19.3,17.88,17,1,0
80.5,159.0,2.28,32.1,0.84,69.88,18.92,18.15,18,1,0
79.25,142.5,2.3,32.52,0.88,56.32,19.15,17.9,19,1,0
71.0,122.0,2.78,31.4,0.89,57.62,18.9,18.15,20,1,0
72.25,118.5,2.4,19.58,0.8,69.03,12.38,20.38,21,1,0
79.0,123.5,2.2,17.77,0.84,77.25,11.28,22.1,22,1,0
88.75,134.75,2.4,16.38,0.88,76.15,10.65,22.5,23,1,0
97.75,149.25,1.9,16.38,0.97,81.77,10.22,24.25,0,1,1
121.25,170.75,2.1,16.83,1.03,93.33,10.67,25.33,1,1,1
128.67,179.33,1.75,14.35,1.09,93.8,9.1,27.45,2,1,1
124.5,174.0,1.82,12.9,1.01,95.5,8.35,26.7,3,1,1
124.25,169.25,2.17,13.88,1.0,102.08,9.15,23.88,4,1,1
